Pressure (bar),Loading (mmol/g)
0.2,0.052583697888832
0.8,0.20784552084234
1.4,0.35462665598747
2.0,0.5127725994912
2.6,0.6547296996684
3.2,0.78499581118667
3.8,0.91900441246653
4.4,1.055776962607
5.0,1.2148671122433
5.6,1.3078284978352
6.2,1.4631418229414
6.8,1.5659572870799
7.4,1.6924809088365
8.0,1.8241547458615
8.6,1.885013122948
9.2,1.9804466118686
9.8,2.1478114407025
10.2,2.2276397773604
