Pressure (bar),Loading (mmol/g)
0.2,0.23575968759626
0.8,0.98475549405786
1.4,1.8503006720399
2.0,2.7077428446667
2.6,3.6901292397011
3.2,4.821734538441
3.8,5.8649964779462
4.4,6.635211171313
5.0,7.4943700823624
5.6,8.2962757670132
6.2,8.5992285964759
6.8,9.203984040658
7.4,9.7064218748443
8.0,10.027881144504
8.6,10.348482044953
9.2,10.553271771403
9.8,10.764379095248
10.2,10.953048647908
