Pressure (bar),Loading (mmol/g)
0.2,0.06563379544785
0.8,0.26439683199255
1.4,0.45816146525745
2.0,0.62400984619095
2.6,0.8023627360098
3.2,0.97143287688045
3.8,1.1356066227015
4.4,1.3174702957764
5.0,1.4491204175354
5.6,1.6241835419303
6.2,1.7920465854102
6.8,1.9268249595619
7.4,2.1054243692705
8.0,2.239310171408
8.6,2.337518595033
9.2,2.5546176109562
9.8,2.6749108164195
10.2,2.7594671385695
