Pressure (bar),Loading (mmol/g)
0.2,0.31424485381695
0.8,1.1580909367748
1.4,2.038693985348
2.0,2.9664843410745
2.6,3.8041249233618
3.2,4.7398294176147
3.8,5.6300892453135
4.4,6.571769721719
5.0,7.5454467796638
5.6,8.1926294954818
6.2,9.0655394233608
6.8,9.9333829424732
7.4,10.499469115282
8.0,11.176310724031
8.6,11.800907117546
9.2,12.322322186213
9.8,12.73597406036
10.2,13.056237399758
