Pressure (bar),Loading (mmol/g)
0.2,2.732727414792
0.3266840603101,4.369949526912
0.48686234189789,5.7705666370224
0.69500812430223,6.8743309833244
0.97485889138887,7.598813085141
1.3678130038057,8.2150826016624
1.951904804549,8.6262039121069
2.551904804549,8.846552379985
3.151904804549,9.0288549244554
3.751904804549,9.1648323824958
4.351904804549,9.2861528044446
4.951904804549,9.3393688103836
5.551904804549,9.4082578858388
6.151904804549,9.4298963790073
6.751904804549,9.4631941067159
7.351904804549,9.5820096542812
7.951904804549,9.5691030123974
8.551904804549,9.6485346916435
9.151904804549,9.603024443808
9.751904804549,9.6529810951878
10.2,9.7229767415754
