Pressure (bar),Loading (mmol/g)
0.2,0.19363986752364
0.8,0.719462293293
1.4,1.1852683313032
2.0,1.5837143737829
2.6,1.964938147429
3.2,2.3003800603546
3.8,2.6374516505899
4.4,2.9101006884275
5.0,3.1565843516202
5.6,3.4335188371982
6.2,3.664822358103
6.8,3.8379403631471
7.4,4.031771365684
8.0,4.2347466686208
8.6,4.4040319141264
9.2,4.5423130517804
9.8,4.6845174866617
10.2,4.786422617184
